name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Beautiful Galata Square Appartment,Nadira,Beyoglu,41.02699,28.97475,Entire home/apt,417,2,165,2.08,315
"Sultanahmet-Istanbul, Adalar Suite",Saban,Fatih,41.00457,28.96628,Entire home/apt,211,1,30,0.4,365
Unique Concept in the Old City,Levent,Fatih,41.00311,28.9807,Entire home/apt,1287,1,15,0.21,365
BestLocation Private Studio @Taksim,Engin,Beyoglu,41.03757,28.98204,Entire home/apt,179,5,28,0.39,179
*** Spacious FLAT with Sea View ***,Thyme,Kadikoy,40.99607,29.02497,Entire home/apt,448,2,30,0.38,109
COSY PLACE AT ISTANBUL NISANTASI,Semih,Sisli,41.05324,28.99166,Entire home/apt,395,2,10,0.13,292
Urban Bridge Loft - 3BR - 2BA - Galata,Dodo,Beyoglu,41.02648,28.9767,Entire home/apt,659,3,150,1.92,155
(6) Cosy Loft with a Terrace,Yigit,Beyoglu,41.03474,28.97575,Entire home/apt,95,30,35,0.56,0
Beautiful Room in the City Centre!,Jan,Beyoglu,41.03291,28.97112,Private room,891,3,7,0.09,0
"Rooftop terrace, tower& water views",Kadir,Beyoglu,41.02565,28.97398,Entire home/apt,1070,1,45,0.66,323
Cozy flat in Ortakoy is calling you,Gamze,Besiktas,41.05101,29.02561,Entire home/apt,211,1,3,0.06,0
simple&clean apt w/ amazing view,Umut,Beyoglu,41.02514,28.97626,Entire home/apt,290,3,56,0.71,168
"Quiet, spacious, with patio garden",Kadir,Beyoglu,41.0304,28.98238,Entire home/apt,685,2,18,0.34,339
"Cozy, high ceilings & marble floors",Kadir,Beyoglu,41.03171,28.97994,Entire home/apt,448,2,5,0.07,360
Cosy apartment in Istanbul,Ece & Ali,Kadikoy,40.9756,29.05965,Entire home/apt,316,4,8,0.1,364
"Light, peaceful & high ceilings",Kadir,Beyoglu,41.03116,28.98094,Entire home/apt,448,2,3,0.07,365
"White, bright and airy!",Kadir,Beyoglu,41.03207,28.98067,Entire home/apt,448,2,2,0.05,365
Penthouse with panoramic views,Kadir,Beyoglu,41.03234,28.98048,Entire home/apt,833,2,12,0.16,171
{Berry} Red Butterfly Concept - Suite,Güner - Berivan - Erdal,Beyoglu,41.03735,28.97442,Entire home/apt,142,2,90,1.14,360
DISCOVER Cihangir Galata Istiklal,Eylem,Beyoglu,41.02935,28.98498,Entire home/apt,538,2,4,0.05,365
Historic Old City Studio Apt Balat1,Carolina,Fatih,41.02837,28.94735,Entire home/apt,237,2,139,1.86,287
Historic Old City Duplex Apt Balat3,Carolina,Fatih,41.02985,28.94597,Entire home/apt,237,2,131,1.97,354
In the center with a good price,Bahar,Fatih,41.01966,28.92449,Private room,105,1,33,0.42,365
Historic Old City Studio Apt Balat2,Carolina,Fatih,41.02959,28.94896,Entire home/apt,237,2,137,1.91,299
Historic Old City MiniDuplex Balat4,Carolina,Fatih,41.02885,28.94787,Entire home/apt,179,2,164,2.11,308
"CENTRAL,CLEAN,SAFE ROOM 4,CAGLAYAN",Chari&Anna,Kagithane,41.07061,28.9832,Private room,63,1,7,0.09,323
"Cozy Room with Terrace, City View!",Başak,Besiktas,41.05164,29.00582,Private room,74,4,15,0.19,232
Centrally Located Elegant Apartment,Vesile,Beyoglu,41.03249,28.98687,Entire home/apt,506,4,19,0.27,0
"CENTRAL,CLEAN,SAFE ROOM 3,CAGLAYAN",Chari&Anna,Kagithane,41.07209,28.98355,Private room,63,1,51,0.65,323
A Nice Flat with Bosphorus view,A. Faruk,Uskudar,41.0243,29.01251,Private room,132,2,3,0.05,0
FANCY 2 BDRM MACKA APT NEAR TAKSIM,Banu,Besiktas,41.04298,28.99915,Entire home/apt,369,3,56,0.73,348
"Modern Residence, 5 mins from IST Ataturk Airport.",Omer Faruk,Bahcelievler,41.00382,28.81183,Entire home/apt,227,2,35,1.65,348
Cozy apt in the heart of Cihangir,Emre,Beyoglu,41.03211,28.98401,Private room,295,5,1,0.01,365
"clean, convenient Apt",Resul,Besiktas,41.04837,29.02634,Entire home/apt,95,1,14,0.19,235
1 bedroom apartment in the center of Old Istanbul,Ozkan,Fatih,41.02981,28.94857,Entire home/apt,237,3,22,0.51,304
Studio flat in Istanbul very good price,Ozkan,Fatih,41.02875,28.9481,Entire home/apt,158,3,23,0.54,346
Luxury in space & full privacy,Levent,Fatih,41.00394,28.97978,Entire home/apt,1070,1,3,0.09,350
Comfy Central Room in A Safe Area,Ahmet,Sisli,41.05356,28.97864,Private room,90,1,36,0.55,365
EDEN | 1Bed with Garden in CIHANGIR,Ilker,Beyoglu,41.03045,28.98389,Entire home/apt,295,7,22,0.28,343
Family apart 3 bedroom with balcony,Süleyman & Taner,Fatih,41.00408,28.96917,Entire home/apt,269,3,129,1.66,319
"Artist's Studio,Central&Near Taksim",Efe & Memet,Sisli,41.0497,28.98836,Entire home/apt,285,2,118,1.52,347
OLD CITY SULTANAMET II ISTANBUL,Adar,Fatih,41.00444,28.96863,Entire home/apt,158,2,34,0.48,365
Perfect Located HOUSE Cihangir BEYOGLU,Pelin,Beyoglu,41.02976,28.98159,Entire home/apt,153,2,267,3.48,79
"Catch Spell of  Beyoglu, Taxim, PERA",Baris,Beyoglu,41.03073,28.97369,Entire home/apt,422,1,25,0.32,364
The Jewel of the Bosphorus,Cedric,Uskudar,41.0428,29.04829,Private room,738,1,1,0.01,365
Fancy Flat near Taksim Square (7),Kerem,Beyoglu,41.03862,28.98308,Entire home/apt,179,1,240,4.18,312
1001 nights in Istanbul,Nora,Beyoglu,41.02951,28.98356,Entire home/apt,891,3,4,0.06,365
Villa Bosphorus Konak,İlhan,Beykoz,41.1745,29.09007,Entire home/apt,1144,2,2,0.03,212
Adorable private bedroom & bathroom,Sibel,Besiktas,41.06002,29.0191,Private room,385,3,1,0.02,365
Elegant Flat in Istanbul's Heart,Miko (MichelAngelo),Beyoglu,41.03164,28.96941,Entire home/apt,211,5,11,0.15,242
Small room in the city center ,Bahar,Fatih,41.01719,28.93065,Private room,79,2,13,0.17,362
Single room in Avenue Bagdat Apart,Pelin,Kadikoy,40.97589,29.0671,Private room,148,7,11,0.17,348
Do You Want Comfort and Convenience,B&B,Kadikoy,40.97353,29.07474,Entire home/apt,596,2,4,0.08,1
Sunny&cosy vintage apt @Beyoglu,Fulya,Beyoglu,41.03597,28.97643,Entire home/apt,290,5,9,0.13,364
