name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
Harem,Mehmet Ali,Beyoglu,41.02865,28.97919,Entire home/apt,453,5,10,0.09,365,,
Exclusive Apart with Kitchenette,Ramiz,Fatih,41.0029,28.97787,Private room,343,1,60,0.58,365,,
Cozy studio apartment in Cihangir,Bilgehan,Beyoglu,41.03077,28.98118,Entire home/apt,466,4,114,1.10,365,,
Nice and Clean Lovely Room Cihangir,Defne,Beyoglu,41.03073,28.98167,Private room,308,14,1,0.02,365,,
Cozy Room in the Heart of Kadıköy,Basak,Kadikoy,40.98598,29.02667,Private room,117,2,11,0.17,88,,
Comfy Furnished Room in a Cozy Home,Basak,Kadikoy,40.98627,29.02542,Private room,137,2,1,0.03,363,,
2  PRIVATE ROOMS IN SULTANAHMET ,Ramazan,Fatih,41.0068,28.97874,Private room,446,1,0,,365,,
FLAT WITH HISTORICAL VIEW,Ahmet,Kadikoy,40.98441,29.02177,Entire home/apt,411,6,23,0.24,0,,
FULL EQUIPPED FLAT IN OLD ISTANBUL,Timur,Fatih,41.01309,28.94331,Private room,576,2,0,,365,,
"Istiklal Avenue,Sadri alisik street",Berkan,Beyoglu,41.03433,28.98221,Entire home/apt,75,1,155,1.54,0,,
"Apartment in Montmartre, Paris",Bahar,Beyoglu,41.03203,28.98564,Entire home/apt,384,7,1,0.01,358,,
CIHANGIR | Stunning Bosphorus View!,Ilker,Beyoglu,41.03297,28.98488,Entire home/apt,1035,3,65,0.63,364,,
A boutique experience in Istanbul ,Erdal,Beyoglu,41.03324,28.9811,Private room,693,1,0,,365,,
Sur la place de la tour de Galata,Hervé,Beyoglu,41.02437,28.9748,Entire home/apt,768,2,0,,365,,
BLUE Mosque walking&Grand pazar مشي لكل مكان,Bãśmä,Fatih,41.01106,28.94568,Private room,96,4,300,3.24,0,,
"Down town,walk to everywhereوسط اسطنبول يوسف باشا",Bãśmä,Fatih,41.01232,28.94706,Private room,96,2,14,0.14,180,,
